Municipality or First Nation,Store Name,Address,Store Application Status
ACTON,BUDDERS,372 QUEEN ST E UNIT A4,Authorized to Open
ACTON,T Cannabis,38 MILL ST E,Authorized to Open
ACTON,True North Cannabis Co,352 QUEEN ST E SUITE 4,Authorized to Open
AJAX,4K Cannabis,"75 BAYLY ST W UNITS 12, 13, 14",Authorized to Open
AJAX,CANNA CABANA,170 KINGSTON RD E UNIT B4,Authorized to Open
AJAX,Cannaverse,314 HARWOOD AVE S UNIT 16,Authorized to Open
AJAX,GREEN WORLD ,1901 HARWOOD AVE N UNIT 34,Authorized to Open
AJAX,Hemisphere Cannabis Co.,"955 WESTNEY RD S, UNIT 4-II",Authorized to Open
AJAX,One Plant,20 KINGSTON RD W UNIT 3A,Authorized to Open
AJAX,One Plant,"955 WESTNEY RD S, UNIT 4-II",In Progress
AJAX,Red Rock Cannabis Co.,65 KINGSTON RD E SUITE 2,Authorized to Open
AJAX,Spiritleaf Ajax,145 KINGSTON RD E SUITE 20,Authorized to Open
AJAX,The 6ix Cannabis,475 WESTNEY RD N UNIT 13,Authorized to Open
AJAX,The Peace Pipe,465 BAYLY ST W UNIT 1,Public Notice Period: Ended 2023/09/30
ALEXANDRIA,HIGHTIES CANNABIS STORE,25 MAIN ST S,Authorized to Open
ALEXANDRIA,Shiny Bud,431 MAIN ST S UNIT F,Authorized to Open
ALGONQUIN HIGHLANDS,EIGHTH CANNABIS,"9996 HIGHWAY 118, UNIT B",Authorized to Open
ALLISTON,Buds4Less,23 YOUNG ST,Authorized to Open
ALLISTON,CANNACO - THE CANNABIS COMPANY,42 VICTORIA ST E,Authorized to Open
ALLISTON,Green Grove,70 VICTORIA ST E SUITE 3,Authorized to Open
ALLISTON,SESSIONS CANNABIS - ALLISTON,689 VICTORIA STREET EAST UNIT 2,Public Notice Period: Ended 2021/07/21
ALLISTON,ShinyBud Cannabis Co. Alliston ,86 YOUNG ST UNIT S6B,Authorized to Open
ALMONTE,Bluebird Almonte,14 MILL ST UNIT 8A,Authorized to Open
ALMONTE,Pop's Cannabis Co. Almonte,401 OTTAWA ST UNIT 6,Authorized to Open
ALMONTE,The Flower Pot,453 OTTAWA ST UNIT 2,Authorized to Open
AMHERSTBURG,Discounted Cannabis,421 SANDWICH ST S UNIT 5 ,Authorized to Open
AMHERSTBURG,Higher Limits Cannabis Company,400 SANDWICH ST S UNIT 1300,Authorized to Open
AMHERSTBURG,The Amherstburg Cannabis Company,268 SANDWICH ST S,Authorized to Open
AMHERSTVIEW,Star Buds Cannabis Co.,4507 BATH RD SUITE 5,Authorized to Open
ANCASTER,AB LABORATORIES,1428 SANDHILL DR,Public Notice Period: Ended 2020/08/04
ANCASTER,Canna Cabana ,14 MARTINDALE CRES UNIT 4A,Authorized to Open
ANCASTER,Cannaverse,1183 WILSON ST W UNIT 5,Authorized to Open
ANCASTER,HIGHLIFE ANCASTER,1142 WILSON ST W UNIT 9,Authorized to Open
ANCASTER,Miss Jones,1015 GOLF LINKS RD UNIT 202B,Public Notice Period: Ended 2021/02/01
ANCASTER,Spiritleaf Ancaster,1090 WILSON ST W UNIT 3,Authorized to Open
ANGUS,Star Buds Cannabis Co.,285 MILL ST UNIT 106,Authorized to Open
ANGUS,The Den Cannabis Store,173 MILL ST SUITE 1,Authorized to Open
ANGUS,Uplift Cannabis,165 MILL ST UNIT 2,Authorized to Open
ANGUS,Value Buds,4 PINE RIVER RD UNIT 3,Authorized to Open
APSLEY,The Underground,10020 HWY 28,Authorized to Open
ARMSTRONG STATION,Happy Time,16 KING STREET,Authorized to Open
ARNPRIOR,ARNPRIOR CANNABIS,8 ELGIN ST W,Authorized to Open
ARNPRIOR,GREEN VALLEY CANNABIS COMPANY,115 JOHN ST N,Authorized to Open
ARNPRIOR,One Plant,39 WINNER'S CIRCLE DR UNIT 9,In Progress
ARNPRIOR,SHINYBUD CANNABIS CO. 39 ARNPRIOR,39 WINNER'S CIRCLE DR UNIT 9,Authorized to Open
ARTHUR,Cannabis Stop Inc ,168 GEORGE STREET SUITE 101,Authorized to Open
ARTHUR,The Green Cloud Cannabis,7999 WELLINGTON RD 109 BUILDING 1 UNIT 3,Authorized to Open
ATHENS,Village Bud,26 MAIN ST E,Authorized to Open
ATIKOKAN,Ideal Buds (Atikokan),100 MERCURY AVENUE WEST,Authorized to Open
AURORA,ALPHA CANNABIS,118 WELLINGTON ST E,Authorized to Open
AURORA,ASHARIO,15114 YONGE ST,Authorized to Open
AURORA,CannaEra,15543 YONGE ST UNIT 1,Authorized to Open
AURORA,Dab Cannabis,444 HOLLANDVIEW TRAIL UNIT 1B,Authorized to Open
AURORA,FIKA LOCAL CANNABIS,91 FIRST COMMERCE DR UNIT 13,Authorized to Open
AURORA,HAVOK SMOKE CANNABIS & ACCESSORIES,38 WELLINGTON ST E SUITE 1,Authorized to Open
AURORA,JANE'S CANNABIS SHOP,160 WELLINGTON ST E UNIT 3,Authorized to Open
AURORA,MALIBU ROAD,150 HOLLIDGE BLVD UNIT 5,Authorized to Open
AURORA,Nature's Haze,15570 YONGE ST UNIT 8,Authorized to Open
AURORA,SESSIONS CANNABIS - AURORA,15480 BAYVIEW AVE UNIT D0103,Authorized to Open
AURORA,Spark Cannabis,15191 YONGE ST,Authorized to Open
AURORA,The Woods Cannabis ,16015 BAYVIEW AVE UNIT B2,Authorized to Open
AURORA,Tokyo Smoke Aurora,14800 YONGE ST UNIT 114,Authorized to Open
AURORA,Value Buds,650 WELLINGTON ST E UNIT A12,Authorized to Open
AYLMER,COST CANNABIS,71 TALBOT ST E,In Progress
AYLMER,True North Cannabis Company,115 TALBOT ST W,Authorized to Open
AYR,Speakeasy Cannabis Ayr,62 STANLEY ST,Authorized to Open
AYR,Taste Buds Cannabis,45 STANLEY ST UNIT 200,Public Notice Period: Ended 2021/11/19
AZILDA,Grassroots Co,93 NOTRE DAME AVE W UNIT 14,Public Notice Period: Ended 2023/07/12
BALDWIN,Bud's Cannabis Store,23721 HIGHWAY 48 SUITE 7,Authorized to Open
BANCROFT,BANCROFT CANNABIS,7 STATION ST RR 1,Authorized to Open
BANCROFT,The Underground Ontario,1 FAIRWAY BLVD UNIT 6 RR 2,Authorized to Open
BARRIE, Miss Jones,"400 BAYFIELD ST, UNIT G58 G59 G61",Authorized to Open
BARRIE,228 CANNABIS STORE,12 CHASE MCEACHERN WAY,Public Notice Period: Ended 2023/11/16
BARRIE,Blackstar Cannabis,250 INNISFIL ST UNIT 1,Public Notice Period: Ended 2022/08/06
BARRIE,BUDS 4 LESS,489 YONGE ST UNIT 2,Authorized to Open
BARRIE,BUDS 4 LESS,145 MAPLEVIEW DR W UNIT A,Authorized to Open
BARRIE,BUDS HOUSE,201 HURST DR UNIT 6,Authorized to Open
BARRIE,BUDSSMOKE,389 BAYFIELD ST,Authorized to Open
BARRIE,Budtimez,165 WELLINGTON ST W SUITE 2A,Authorized to Open
BARRIE,Canna Cabana,201 CUNDLES RD E UNIT 105A,Authorized to Open
BARRIE,CITY CANNABIS CO,130 DUNLOP ST E SUITE 102,Public Notice Period: Ended 2020/07/06
BARRIE,ENDO,149 DUNLOP ST E UNIT 151A,Authorized to Open
BARRIE,FIKA LOCAL CANNABIS,33 MAPLEVIEW DR W UNIT C007,Authorized to Open
BARRIE,Friendly Stranger,79 DUNLOP ST W UNIT B,Authorized to Open
BARRIE,Graffiti Cannabis Co.,393 YONGE ST UNIT 2,Authorized to Open
BARRIE,Greenlight District,99 DUNLOP ST E,Authorized to Open
BARRIE,Hemisphere Cannabis Co.,15 CEDAR POINTE DR UNIT 11 & 12,Authorized to Open
BARRIE,ONE PLANT BARRIE (CUNDLES),"627 CUNDLES ROAD EAST, UNIT 111",Authorized to Open
BARRIE,ONE PLANT ESSA ROAD,231 ESSA RD,Authorized to Open
BARRIE,Pop's Cannabis Co. Big Bay Point ,829 BIG BAY POINT RD UNIT D6,Authorized to Open
BARRIE,SPIRITLEAF PARK PLACE,120 PARK PLACE BOULEVARD UNIT 1 BUILDING 3,Authorized to Open
BARRIE,Star Buds Cannabis Co.,181 LIVINGSTONE ST E UNIT 3,Authorized to Open
BARRIE,Star Buds Cannabis Co.,500 HURONIA RD UNIT 208,Authorized to Open
BARRIE,Star Buds Cannabis Co.,477 GROVE ST E UNIT 11,Authorized to Open
BARRIE,TBD,1 DUNLOP ST E,In Progress
BARRIE,The Den Cannabis Store,190 MINETS POINT UNIT 4,Authorized to Open
BARRIE,The Farm,14D HAMILTON RD,Authorized to Open
BARRIE,The House of Cannabis,66 DUNLOP ST W,Authorized to Open
BARRIE,The Underground Ontario,408 DUNLOP ST W UNIT 2,Authorized to Open
BARRIE,Tokyo Smoke Barrie Essa Road,555 ESSA RD,Authorized to Open
BARRIE,Tweed,99 MAPLEVIEW DR E UNIT A ,Public Notice Period: Ended 2021/10/19
BARRY'S BAY,BayBud Cannabis,48 BAY ST.,Authorized to Open
BATH,Baths Bud N Boutique,220 MAIN ST UNIT 6,Authorized to Open
BAYSVILLE,Groovy's Baysville,14 BRIDGE STREET,Authorized to Open
BAYSVILLE,Qunubu Cannabis,2620 MUSKOKA DISTRICT ROAD 117,In Progress
